shard_number,txn_hash,from_address,to_address,age,txn_value,txn_fee
0,0xf41...1e010,one1j...u04u8,one1x...n5949,08/18/2020 15:58:05 MDT,0,0.01000001
0,0xedd...55356,one1c...xfw2j,one1w...2xt26,08/18/2020 15:57:14 MDT,1928077,0.000021
0,0x5f8...dea66,one1j...u04u8,one1x...n5949,08/18/2020 15:53:04 MDT,0,0.01000001
0,0x7d5...02cd4,one1j...u04u8,one1x...n5949,08/18/2020 15:48:04 MDT,0,0.01000001
0,0x1df...1d0df,one1j...u04u8,one1x...n5949,08/18/2020 15:43:04 MDT,0,0.01000001
0,0x486...da6ac,one1d...v7kzj,one1q...8wd2t,08/18/2020 15:38:59 MDT,448556,0.00021
0,0x14b...f02d2,one1j...u04u8,one1x...n5949,08/18/2020 15:38:04 MDT,0,0.01000001
0,0x521...89ad7,one1w...2xt26,one1d...v7kzj,08/18/2020 15:37:54 MDT,448556,0.000021
0,0x08f...099ac,one1j...u04u8,one1x...n5949,08/18/2020 15:33:04 MDT,0,0.01000001
0,0xc1f...66335,one1t...2r54m,one10...p6gwz,08/18/2020 15:30:19 MDT,11,0.000021
0,0x887...885ef,one1j...u04u8,one1x...n5949,08/18/2020 15:28:04 MDT,0,0.01000001
0,0x4bc...063ad,one1w...2xt26,one1r...57uxv,08/18/2020 15:27:44 MDT,98262,0.000021
0,0x460...1155d,one1r...f64yy,one1y...3s735,08/18/2020 15:24:53 MDT,0,0.0067219
0,0xe9f...1c7f6,one1r...acgdf,one1f...knkdm,08/18/2020 15:23:13 MDT,0.001,0.000021
0,0xdc3...6c433,one1j...u04u8,one1x...n5949,08/18/2020 15:23:03 MDT,0,0.01000001
0,0xc5f...ac425,one15...tcgq7,one1q...75u46,08/18/2020 15:21:48 MDT,5265.7524,0.000021
0,0x89f...41182,one1w...2xt26,one15...tcgq7,08/18/2020 15:21:38 MDT,5265.7524,0.000021
0,0x108...7982f,one1r...acgdf,one1f...knkdm,08/18/2020 15:20:28 MDT,1,0.000021
0,0x487...9aed5,one1w...2xt26,one10...c7rqx,08/18/2020 15:19:28 MDT,237397.999,0.000021
0,0x981...64d79,one1j...u04u8,one1x...n5949,08/18/2020 15:18:08 MDT,0,0.01000001
0,0x22c...749b2,one1w...2xt26,one10...t5wmc,08/18/2020 15:15:23 MDT,35000,0.000021
0,0x9db...9fc11,one1w...2xt26,one1s...t2w6s,08/18/2020 15:13:13 MDT,50439.4048,0.000021
0,0xc40...36d3e,one1w...2xt26,one10...qewsp,08/18/2020 15:13:08 MDT,331927.399,0.000021
0,0xa1a...2f03f,one1j...u04u8,one1x...n5949,08/18/2020 15:13:03 MDT,0,0.01000001
0,0x95d...937d5,one14...3wjrr,one18...q8tm8,08/18/2020 15:12:43 MDT,525,0.000021
0,0x95e...9e20a,one1j...u04u8,one1x...n5949,08/18/2020 15:08:02 MDT,0,0.01000001
0,0xc92...4a20d,one13...tfevf,one12...p38yr,08/18/2020 15:07:37 MDT,75000,0
0,0x773...728b1,one19...6qgk6,one12...p38yr,08/18/2020 15:07:37 MDT,51000,0
0,0xca8...eb99e,one1x...qtlcw,one12...p38yr,08/18/2020 15:07:32 MDT,32206.258,0
0,0x3de...9fa26,one1a...6scua,one12...p38yr,08/18/2020 15:07:32 MDT,21074,0
0,0xbed...0239f,one10...c7rqx,one12...p38yr,08/18/2020 15:07:27 MDT,175478.999,0
0,0xad2...c7d04,one1e...jatzm,one12...p38yr,08/18/2020 15:07:27 MDT,216901.213,0
0,0xdf3...ad68b,one1s...t2w6s,one12...p38yr,08/18/2020 15:07:22 MDT,178457.3254,0
